date,symbol,underlying_close,underlying_return_1d,atm_iv_30d,wing_minus_atm_30d,rr_25d_30d,term_30_90,put_skew25_30d,call_skew25_30d,risk_state,risk_score,score_detail
2025-11-18,SPX,6673.31005859375,,0.1849359167761178,0.172767144682148,0.0986673471756853,,0.0633399345766561,-0.0353274125990291,RISK_OFF,0,
2025-11-19,SPX,6642.16015625,-0.0046678338141408204,0.1914640916420754,0.1414740068699248,0.0069105872808132,-0.0045331027412504,0.0012672878934264,-0.0056432993873868,RISK_OFF,0,
2025-11-20,SPX,6545.5498046875,-0.014545019886579191,0.2152482908319756,0.1543952005433476,0.0799280478631973,-0.017771942438858,0.047233697419293,-0.0326943504439042,RISK_OFF,0,
2025-11-21,SPX,6602.990234375,0.008775493488165864,0.1935554465321497,0.150632960391356,0.0424187211189615,-0.0067050720424572,0.0235147124494775,-0.018904008669484,RISK_OFF,0,
2025-11-24,SPX,6708.52001953125,0.015982120434899993,0.1690003808111509,0.1709024893793516,0.0665208635515748,0.0024012928379786,0.0421378138095374,-0.0243830497420374,RISK_OFF,0,
2025-11-25,SPX,6774.830078125,0.009884454156906974,0.1515707284940942,0.1695231883670623,0.0580228917442417,0.0088828389317947,0.0383594926454481,-0.0196633990987936,RISK_OFF,0,
2025-11-26,SPX,6826.47998046875,0.007623793032170756,0.1427895673667825,0.1647209706848495,0.0467771881308175,0.013605414908056,0.0317350321428767,-0.0150421559879408,RISK_OFF,0,
2025-11-28,SPX,6849.08984375,0.0033120822658148086,0.1403061028589491,0.157761345283777,0.046405685020748,0.01268332624546,0.0299213167163933,-0.0164843683043547,RISK_OFF,0,
2025-12-01,SPX,6823.7998046875,-0.003692467121829024,0.145637926164264,0.1595635654407448,0.0485166192796641,0.0106293264853296,0.0318772996461585,-0.0166393196335055,RISK_OFF,0,
2025-12-02,SPX,6829.3701171875,0.00081630655345033,0.1440320229485321,0.156653501958651,0.0440411297104546,0.0115186294885754,0.0303802509980112,-0.0136608787124434,RISK_OFF,0,
2025-12-03,SPX,6849.72021484375,0.0029797912994984355,0.1402508260793293,0.157939031590675,0.038683563128884,0.0141726133009692,0.0331665016042964,-0.0055170615245875,RISK_OFF,0,
2025-12-04,SPX,6857.1201171875,0.0010803218396737702,0.1308872941736928,0.1646349938033769,0.0402238964591538,0.0209961982802552,0.0466140397246886,0.0063901432655347,RISK_OFF,0,0.0
2025-12-05,SPX,6870.39990234375,0.001936641757662061,0.1337225089532353,0.147248366571758,0.0376346389072258,0.0204238887874658,0.025305649869981,-0.0123289890372448,RISK_OFF,0,0.0
2025-12-08,SPX,6846.509765625,-0.003477255626794018,0.1415151840656799,0.1566090883935532,0.0414729573149099,0.0137244768779767,0.038824335240628,-0.0026486220742818,RISK_OFF,0,0.0
